Feature,Feature_Name,Importance
Est-42-2020,Est-Wholesale Trade-2020,5.0
Est-99-2021,Est-99-2021,5.0
Est-61-2020,Est-Educational Services-2020,5.0
Est-52-2020,Est-Finance and Insurance-2020,5.0
Est-52-2017,Est-Finance and Insurance-2017,5.0
Est-42-2021,Est-Wholesale Trade-2021,5.0
Est-22-2020,Est-Utilities-2020,5.0
Est-61-2017,Est-Educational Services-2017,5.0
Emp-54-2019,"Emp-Professional, Scientific, Technical Services-2019",5.0
Pay-22-2020,Pay-Utilities-2020,5.0
Pay-23-2020,Pay-Construction-2020,5.0
Emp-99-2020,Emp-99-2020,4.0
Pay-52-2020,Pay-Finance and Insurance-2020,4.0
Est-54-2018,"Est-Professional, Scientific, Technical Services-2018",4.0
Pay-72-2018,Pay-Accommodation and Food Services-2018,4.0
Pay-72-2019,Pay-Accommodation and Food Services-2019,4.0
Emp-99-2017,Emp-99-2017,4.0
Pay-72-2020,Pay-Accommodation and Food Services-2020,4.0
Pay-81-2018,Pay-Other Services-2018,4.0
PercentUrban-2017,PercentUrban-2017,4.0
Est-51-2018,Est-Information-2018,4.0
Est-55-2018,Est-Management of Companies and Enterprises-2018,4.0
Emp-99-2019,Emp-99-2019,4.0
Population-2021,Population-2021,4.0
Est-22-2019,Est-Utilities-2019,4.0
Emp-52-2021,Emp-Finance and Insurance-2021,4.0
Emp-72-2019,Emp-Accommodation and Food Services-2019,4.0
Emp-55-2018,Emp-Management of Companies and Enterprises-2018,4.0
Est-61-2018,Est-Educational Services-2018,4.0
Emp-55-2019,Emp-Management of Companies and Enterprises-2019,4.0
Est-71-2018,"Est-Arts, Entertainment, and Recreation-2018",4.0
Emp-62-2019,Emp-Health Care and Social Assistance-2019,4.0
Emp-62-2021,Emp-Health Care and Social Assistance-2021,3.0
Est-21-2019,"Est-Mining, Quarrying, Oil and Gas Extraction-2019",3.0
Est-55-2020,Est-Management of Companies and Enterprises-2020,3.0
Population-2020,Population-2020,3.0
Est-81-2020,Est-Other Services-2020,3.0
Pay-55-2020,Pay-Management of Companies and Enterprises-2020,3.0
Est-52-2021,Est-Finance and Insurance-2021,3.0
Est-61-2019,Est-Educational Services-2019,3.0
Pay-62-2018,Pay-Health Care and Social Assistance-2018,3.0
Emp-81-2019,Emp-Other Services-2019,3.0
Est-56-2018,Est-Admin and Support and Waste Management-2018,3.0
Pay-51-2018,Pay-Information-2018,2.0
PercentUrban-2019,PercentUrban-2019,2.0
Est-22-2018,Est-Utilities-2018,2.0
Emp-81-2020,Emp-Other Services-2020,2.0
Est-54-2019,"Est-Professional, Scientific, Technical Services-2019",2.0
Km2-2020,Km2-2020,2.0
Est-99-2020,Est-99-2020,2.0
Est-99-2019,Est-99-2019,2.0
Est-51-2020,Est-Information-2020,2.0
Est-81-2019,Est-Other Services-2019,2.0
Est-72-2019,Est-Accommodation and Food Services-2019,2.0
Pay-62-2019,Pay-Health Care and Social Assistance-2019,2.0
PercentUrban-2018,PercentUrban-2018,1.0
Km2-2021,Km2-2021,1.0
Population-2019,Population-2019,1.0
Est-99-2017,Est-99-2017,1.0
Est-55-2021,Est-Management of Companies and Enterprises-2021,1.0
