Fips,Target
41041,0
46083,1
46083,0
47103,1
47103,0
53043,1
53043,0
55069,1
55069,0
54043,1
54043,0
56023,1
56023,0
5081,0
5083,1
5083,0
8075,1
8075,0
17107,1
17107,0
20109,1
20109,0
21141,1
21141,0
38047,1
38047,0
31113,1
31113,0
39091,1
39091,0
40083,1
40083,0
54045,1
54045,0
5085,1
5091,1
5091,0
13201,1
13201,0
29131,1
29131,0
5093,1
29133,1
5099,0
6057,0
5101,0
5101,1
13217,0
13217,1
18111,0
18111,1
29145,0
29145,1
28101,0
28101,1
48351,0
48351,1
5103,1
5107,0
5107,1
8095,0
8095,1
20147,0
20147,1
30071,0
30071,1
5111,1
5113,1
5113,0
12105,1
12105,0
13233,1
13233,0
19153,1
19153,0
27119,1
27119,0
29167,1
29167,0
37149,1
37149,0
31143,1
31143,0
41053,1
41053,0
47139,1
47139,0
48373,1
48373,0
55095,1
55095,0
5115,1
5115,0
17151,1
17151,0
27121,1
27121,0
5117,0
5117,1
5119,1
5119,0
13235,1
13235,0
17153,1
17153,0
18131,1
18131,0
21199,1
21199,0
29169,1
29169,0
51155,1
51155,0
5125,1
5125,0
17165,1
17165,0
20169,1
20169,0
29195,1
29195,0
31151,1
31151,0
5127,0
5127,1
19163,0
19163,1
17171,0
17171,1
18143,0
18143,1
20171,0
20171,1
21209,0
21209,1
27139,0
27139,1
29201,0
29201,1
28123,0
28123,1
47151,0
47151,1
51169,0
51169,1
5129,1
5131,0
5133,1
5133,0
47155,1
47155,0
49041,1
49041,0
5135,0
5137,0
5137,1
29209,0
29209,1
28131,0
28131,1
5139,1
5139,0
12125,1
12125,0
13291,1
13291,0
19175,1
19175,0
17181,1
17181,0
18161,1
18161,0
21225,1
21225,0
28145,1
28145,0
37179,1
37179,0
34039,1
34039,0
35059,1
35059,0
39159,1
39159,0
41061,1
41061,0
42119,1
42119,0
45087,1
45087,0
46127,1
46127,0
47173,1
47173,0
5141,1
19177,1
26159,1
47175,1
5145,1
5145,0
13311,1
