Fips,target
13211,0
17137,0
18109,0
21175,0
29141,0
39115,0
47129,0
49029,0
54065,1
1133,0
28159,0
1007,0
13021,0
1017,0
48071,0
1021,0
1027,0
5021,0
12019,0
13061,1
17025,0
18021,0
19041,0
20027,0
21051,0
27027,0
28025,0
29047,0
31035,0
37043,1
46027,0
47027,1
48077,0
54015,0
1037,0
1057,0
13113,1
17051,0
18041,0
19065,0
21067,0
39047,0
42051,0
47047,0
48149,0
54019,0
1073,0
5069,0
8059,0
12065,0
13163,0
16051,0
17081,0
18077,0
19101,0
20087,0
21111,0
28063,0
29099,0
30043,0
31095,0
36045,0
39081,0
40067,0
41031,0
42065,0
47089,0
48245,0
53031,0
54037,1
55055,0
1075,0
13171,0
28073,0
48277,0
1081,0
5077,0
12071,0
13177,0
17103,0
19111,0
21129,0
28081,0
37105,0
45061,0
48287,0
51105,0
1107,0
13227,0
45077,0
1111,0
5121,0
13243,0
17157,0
18135,0
29175,0
37151,0
54083,0
1117,0
17173,0
18145,0
19165,0
21211,1
29205,0
39149,0
47157,0
48419,0
1121,1
1123,0
1125,0
1127,0
13295,0
48471,0
1005,0
54001,0
1031,0
13069,0
47031,0
1039,0
28031,1
1041,0
1045,0
1061,0
1067,0
13151,0
17073,0
18065,0
19087,0
21103,0
29083,0
39069,0
47079,0
51089,0
1069,0
13153,0
27055,0
47083,0
48225,0
1109,1
5109,1
13231,1
17149,0
18125,1
21195,0
28113,1
29163,0
39131,1
42103,1
1113,0
20167,0
21207,0
51167,0
4001,0
4005,0
4007,0
4015,0
4017,0
4025,0
4003,0
4009,0
20065,0
37075,1
4011,0
4013,0
4019,0
4021,0
4023,0
6087,0
4027,0
8125,0
5029,0
5045,0
5051,0
5053,0
18053,0
20067,0
21081,0
27051,0
31075,0
35017,0
38037,0
40053,0
41023,0
46051,0
53025,0
54023,0
55043,0
5059,0
