Fips,Target
12055,1
12057,0
12059,0
12061,1
12063,0
12065,1
12067,0
12069,0
12071,0
12073,0
12075,0
12077,1
12079,1
12081,1
12083,1
12085,0
12086,0
12087,0
12089,0
12091,0
12093,0
12095,0
12097,0
12099,0
12101,0
12103,1
12105,1
12107,0
12109,0
12111,1
12113,0
12115,1
12117,1
12119,1
12121,0
12123,0
12125,0
12127,0
12129,0
12131,0
12133,0
13001,0
13003,1
13005,0
13009,0
13011,1
13013,1
13015,1
13017,0
13019,0
13021,1
13023,0
13025,0
13027,0
13029,0
13031,0
13033,1
13035,0
13037,0
13039,1
13043,1
13045,1
13047,1
13049,0
13051,0
13053,0
13055,1
13057,0
13059,0
13061,0
13063,0
13065,0
13067,1
13069,0
13071,0
13073,0
13075,0
13077,1
13079,0
13081,0
13083,0
13085,1
13087,0
13089,0
13091,1
13093,0
13095,0
13097,0
13099,1
13101,0
13103,1
13105,0
13107,0
13109,0
13111,0
13113,0
13115,1
13117,1
13119,1
13121,0
13123,1
13125,0
13127,0
13129,0
13131,1
13133,0
13135,0
13137,0
13139,0
13141,0
13143,0
13145,1
13147,0
13149,1
13151,0
13153,0
13155,0
13157,0
13159,0
13161,0
13163,1
13165,0
13167,0
13169,0
13171,1
13173,0
13175,1
13177,0
13179,1
13181,1
13183,0
13185,1
13187,0
13189,0
13191,0
13193,1
13195,1
13197,1
13199,0
13201,1
13205,0
13207,0
13209,0
13211,0
13213,0
13215,0
13217,0
13219,1
13221,1
13223,0
13225,1
13227,1
13229,1
13231,0
13233,1
13235,0
13237,0
13239,0
13241,0
13243,1
13245,0
13247,0
13249,0
13251,1
13253,1
13255,0
13257,0
13259,0
13261,1
13263,0
13267,0
13269,0
13271,0
13273,0
13275,0
13277,1
13279,0
13281,1
13283,0
13285,0
13287,0
13289,1
13291,0
13293,0
13295,1
13297,0
13299,0
13301,0
13303,0
13305,1
13307,0
13309,0
13311,0
13313,1
13315,1
13317,0
13319,1
13321,0
15001,0
15003,1
15007,0
15009,0
16001,0
16003,1
16005,1
16007,1
16009,0
16011,0
16013,0
16015,0
16017,0
16019,0
16021,0
16023,0
16025,0
16027,0
16029,0
16031,0
16035,1
16037,1
16039,0
16041,1
16043,0
16045,0
16047,1
16049,0
16051,1
16053,0
16055,0
16057,0
16059,0
16061,0
16063,1
16065,1
16067,0
16069,0
16071,0
16073,0
16075,0
16077,1
16079,0
16081,1
16083,0
16085,0
16087,0
17001,1
17003,0
17005,1
17007,0
17009,0
17011,0
17013,0
17015,1
17017,0
17019,0
17021,0
17023,1
17025,0
17027,0
17029,0
17031,0
17033,0
17035,0
17037,0
17039,1
17041,0
17043,0
17045,1
17047,0
17049,1
17051,0
17053,1
17055,1
17057,0
17059,0
17061,0
17063,1
17065,0
17067,0
17069,0
17071,0
17073,0
17075,1
17077,0
17079,0
17081,1
17083,0
17085,1
17087,0
17089,0
17091,0
17093,1
17095,0
17097,0
17099,0
17101,0
17103,0
17105,1
17107,1
17109,0
17111,0
17113,0
17115,1
17117,1
17119,1
17121,1
17123,0
17125,0
17127,0
17129,1
17131,0
17133,0
17135,0
17137,0
17139,0
17141,1
17143,1
17145,0
17147,0
17149,0
17151,0
17153,0
17155,0
17157,1
17159,1
17161,0
17163,0
17165,0
17167,1
17169,0
17171,1
17173,1
17175,0
17177,0
17179,1
17181,0
17183,0
17185,0
17187,0
17189,0
17191,1
17193,0
17195,1
17197,1
17199,1
17201,1
17203,1
18001,1
18003,1
18005,1
18007,1
18009,1
18011,0
18013,0
18015,1
18017,0
18019,1
18021,0
18023,0
18025,0
18027,0
18029,0
18031,0
18033,0
18035,0
18037,1
18039,1
18041,0
18043,1
18045,0
18047,1
18049,0
18051,0
18053,0
18055,0
18057,0
18059,0
18061,1
18063,1
18065,0
18067,1
18069,0
18071,0
18073,0
18075,1
18077,1
18079,0
18081,0
18083,0
18085,1
18087,0
18089,0
18091,0
18093,0
18095,1
18097,1
18099,0
18101,0
18103,0
18105,0
18107,0
18109,0
18111,0
18113,1
18115,0
18117,0
18119,0
18121,1
18123,0
18125,0
18127,0
18129,0
18131,0
18133,0
18135,1
18137,0
18139,1
18141,0
18143,1
18145,1
18147,0
18149,1
18151,0
18153,0
18155,1
18157,1
18159,1
18161,0
18163,0
18165,0
18167,1
18169,0
18171,0
18173,0
18175,0
18177,1
18179,1
18181,0
18183,0
19001,0
19003,1
19005,0
19007,0
19009,1
19011,1
19013,0
19015,0
19017,0
19019,1
19021,1
19023,0
19025,0
19027,1
19029,0
19031,1
19033,0
19035,0
19037,1
19039,0
19041,0
19043,0
19045,0
19047,0
19049,0
19051,0
19053,0
19055,0
19057,0
19059,0
19061,1
19063,0
19065,0
19067,1
19069,1
19071,0
19073,0
19075,1
19077,0
19079,0
19081,0
19083,0
19085,1
19087,0
19089,1
19091,1
19093,0
19095,0
19097,0
19099,0
19101,1
19103,0
19105,0
19107,0
19109,0
19111,0
19113,0
19115,1
19117,1
19119,0
19121,1
19123,1
19125,1
19127,0
19129,1
19131,0
19133,0
19135,0
19137,0
19139,0
19141,0
19143,0
19145,0
19147,1
19149,1
19151,0
19153,1
19155,0
19157,1
19159,0
19161,0
19163,1
19165,1
19167,0
19169,0
19171,0
19173,0
19175,0
19177,1
19179,0
19181,0
19183,0
19185,1
19187,0
19189,1
19191,0
19193,0
19195,0
19197,0
20001,1
20003,1
20005,0
20007,0
20009,1
20011,0
