Feature,Feature_Name,Importance
Est-81-2019,Est-Other Services-2019,0.00338227860149386
Pay-71-2020,"Pay-Arts, Entertainment, and Recreation-2020",0.0033638830409842874
Est-54-2020,"Est-Professional, Scientific, Technical Services-2020",0.003359483045311251
Emp-61-2019,Emp-Educational Services-2019,0.003340650360181222
Est-56-2021,Est-Admin and Support and Waste Management-2021,0.003338879534520318
Est-81-2018,Est-Other Services-2018,0.003334422731768109
Emp-71-2019,"Emp-Arts, Entertainment, and Recreation-2019",0.003332219686538383
Est-62-2019,Est-Health Care and Social Assistance-2019,0.003314195958696715
UrbanDensity-2021,UrbanDensity-2021,0.0032942306694252695
UrbanDensity-2020,UrbanDensity-2020,0.003251107024495966
Est-54-2021,"Est-Professional, Scientific, Technical Services-2021",0.003242710318696795
Est-54-2018,"Est-Professional, Scientific, Technical Services-2018",0.0032287493532107566
Pay-22-2021,Pay-Utilities-2021,0.003218927852385612
Est-52-2018,Est-Finance and Insurance-2018,0.003209750649996406
Pay-22-2019,Pay-Utilities-2019,0.003205254861200806
Emp-21-2019,"Emp-Mining, Quarrying, Oil and Gas Extraction-2019",0.003170996980055762
Pay-22-2018,Pay-Utilities-2018,0.0031580803831278686
Est-11-2019,"Est-Agriculture, Forestry, Fishing and Hunting-2019",0.0031519859603754133
Emp-21-2021,"Emp-Mining, Quarrying, Oil and Gas Extraction-2021",0.003136132450934897
Emp-61-2021,Emp-Educational Services-2021,0.003132151135160172
Est-56-2018,Est-Admin and Support and Waste Management-2018,0.003128902219844706
Est-52-2021,Est-Finance and Insurance-2021,0.003085330838055705
Est-56-2017,Est-Admin and Support and Waste Management-2017,0.003072664450156235
Emp-22-2021,Emp-Utilities-2021,0.0030632073069950558
Est-52-2019,Est-Finance and Insurance-2019,0.003053886867235739
Est-52-2020,Est-Finance and Insurance-2020,0.0030444884253053267
Est-11-2020,"Est-Agriculture, Forestry, Fishing and Hunting-2020",0.0030419552918463555
Est-53-2018,Est-Real Estate and Rental and Leasing-2018,0.00304169974896693
Est-52-2017,Est-Finance and Insurance-2017,0.003033619623029842
Emp-61-2020,Emp-Educational Services-2020,0.0030203300105162293
Est-56-2019,Est-Admin and Support and Waste Management-2019,0.0030166882093574047
Est-54-2019,"Est-Professional, Scientific, Technical Services-2019",0.003007346528057395
Pay-61-2020,Pay-Educational Services-2020,0.0029945251072776022
Est-53-2020,Est-Real Estate and Rental and Leasing-2020,0.0029806875028813426
Pay-61-2021,Pay-Educational Services-2021,0.0029426874261353894
Pay-22-2020,Pay-Utilities-2020,0.002922561276446725
Est-53-2019,Est-Real Estate and Rental and Leasing-2019,0.0029146110190730393
Emp-61-2018,Emp-Educational Services-2018,0.0029006586019624464
Est-53-2017,Est-Real Estate and Rental and Leasing-2017,0.002896683752647817
Est-54-2017,"Est-Professional, Scientific, Technical Services-2017",0.002890824610160758
Pay-61-2018,Pay-Educational Services-2018,0.0028713159985524176
UrbanDensity-2019,UrbanDensity-2019,0.0028516473035464164
UrbanDensity-2017,UrbanDensity-2017,0.0028285391375476704
Emp-21-2017,"Emp-Mining, Quarrying, Oil and Gas Extraction-2017",0.0028246269654044823
Est-11-2017,"Est-Agriculture, Forestry, Fishing and Hunting-2017",0.002815963933678641
Pay-21-2017,"Pay-Mining, Quarrying, Oil and Gas Extraction-2017",0.002812969263167418
Est-56-2020,Est-Admin and Support and Waste Management-2020,0.002804622766617667
Emp-22-2020,Emp-Utilities-2020,0.0027950919009787204
Emp-22-2019,Emp-Utilities-2019,0.002794479452250797
Est-11-2021,"Est-Agriculture, Forestry, Fishing and Hunting-2021",0.00274329027855263
Emp-22-2018,Emp-Utilities-2018,0.0027400520239981127
Est-11-2018,"Est-Agriculture, Forestry, Fishing and Hunting-2018",0.0027398610505930733
Est-71-2021,"Est-Arts, Entertainment, and Recreation-2021",0.0026967964972511157
Est-71-2019,"Est-Arts, Entertainment, and Recreation-2019",0.002673672158329015
Est-21-2017,"Est-Mining, Quarrying, Oil and Gas Extraction-2017",0.002653539287677878
UrbanDensity-2018,UrbanDensity-2018,0.002631198968073381
Est-71-2017,"Est-Arts, Entertainment, and Recreation-2017",0.0024938407360113493
Est-21-2018,"Est-Mining, Quarrying, Oil and Gas Extraction-2018",0.0024609161152642895
Est-51-2021,Est-Information-2021,0.0024411395859050737
Est-71-2018,"Est-Arts, Entertainment, and Recreation-2018",0.002428915226595892
Est-71-2020,"Est-Arts, Entertainment, and Recreation-2020",0.0024120810924711587
Emp-61-2017,Emp-Educational Services-2017,0.0024079570994085704
Est-51-2019,Est-Information-2019,0.002334465783090239
Pay-61-2017,Pay-Educational Services-2017,0.0023045304595794907
PercentUrban-2019,PercentUrban-2019,0.002304276464350449
Est-51-2020,Est-Information-2020,0.0022958349613998296
Est-21-2021,"Est-Mining, Quarrying, Oil and Gas Extraction-2021",0.0022869506279106374
Pay-55-2019,Pay-Management of Companies and Enterprises-2019,0.0022861640185211267
Emp-55-2020,Emp-Management of Companies and Enterprises-2020,0.002250018599280005
Emp-55-2018,Emp-Management of Companies and Enterprises-2018,0.002245461957912402
Est-51-2017,Est-Information-2017,0.002237985094336436
PercentUrban-2021,PercentUrban-2021,0.0022248481379396677
Emp-55-2019,Emp-Management of Companies and Enterprises-2019,0.0022144627379768523
Est-51-2018,Est-Information-2018,0.002213500290642585
Emp-55-2021,Emp-Management of Companies and Enterprises-2021,0.0021938667443504806
Pay-55-2021,Pay-Management of Companies and Enterprises-2021,0.0021917127718219967
Pay-55-2018,Pay-Management of Companies and Enterprises-2018,0.0021854291874645057
PercentUrban-2020,PercentUrban-2020,0.002173562321318716
Est-21-2020,"Est-Mining, Quarrying, Oil and Gas Extraction-2020",0.0021347782519663587
Est-21-2019,"Est-Mining, Quarrying, Oil and Gas Extraction-2019",0.002080831733417992
PercentUrban-2017,PercentUrban-2017,0.0020801435083738907
PercentUrban-2018,PercentUrban-2018,0.0020737768214260867
Est-61-2021,Est-Educational Services-2021,0.001993113269621049
Est-61-2019,Est-Educational Services-2019,0.0019895126696663984
Est-61-2020,Est-Educational Services-2020,0.001987044986526198
Pay-99-2018,Pay-99-2018,0.0019737396166111688
Pay-55-2020,Pay-Management of Companies and Enterprises-2020,0.001965418874026785
Est-22-2017,Est-Utilities-2017,0.001930725881381936
Est-61-2017,Est-Educational Services-2017,0.0019271798073470631
Emp-22-2017,Emp-Utilities-2017,0.0019200425907445976
Pay-99-2020,Pay-99-2020,0.0018882294977697696
Pay-99-2021,Pay-99-2021,0.0018360300627373778
Pay-22-2017,Pay-Utilities-2017,0.0018072067270818164
Est-22-2018,Est-Utilities-2018,0.0017634683482636807
Pay-99-2019,Pay-99-2019,0.0017576120725634671
Est-22-2019,Est-Utilities-2019,0.0017363572389751832
Est-22-2021,Est-Utilities-2021,0.0017270293686954938
Est-61-2018,Est-Educational Services-2018,0.0017128027142905946
Est-22-2020,Est-Utilities-2020,0.0017118690986659363
Emp-55-2017,Emp-Management of Companies and Enterprises-2017,0.0017096487211404488
Pay-55-2017,Pay-Management of Companies and Enterprises-2017,0.0016542844547933905
Emp-99-2020,Emp-99-2020,0.0016072762938580834
Emp-99-2018,Emp-99-2018,0.0015154987296918693
Emp-99-2021,Emp-99-2021,0.0014233930219785115
Est-55-2017,Est-Management of Companies and Enterprises-2017,0.0013750962554369423
Est-55-2021,Est-Management of Companies and Enterprises-2021,0.0013579763967127934
Est-55-2018,Est-Management of Companies and Enterprises-2018,0.001339137384970875
Emp-99-2019,Emp-99-2019,0.0012894414319737188
Est-55-2019,Est-Management of Companies and Enterprises-2019,0.0012711273371013875
Est-55-2020,Est-Management of Companies and Enterprises-2020,0.0012480790360601451
Pay-99-2017,Pay-99-2017,0.001097224152754222
Est-99-2020,Est-99-2020,0.0010896434389982552
Est-99-2019,Est-99-2019,0.0010880122699402737
Est-99-2018,Est-99-2018,0.0010103295399534814
Emp-99-2017,Emp-99-2017,0.0008619710728309074
Est-99-2021,Est-99-2021,0.0007479112864940997
Est-99-2017,Est-99-2017,0.0006225800964450023
